series_id,year,period,available,gap_reason,coverage_id
k12_operating_grants,2012,2012-13,False,No verified recognized provincial operating-support observation on this boundary.,
k12_operating_grants,2013,2013-14,False,No verified recognized provincial operating-support observation on this boundary.,
k12_operating_grants,2014,2014-15,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_grants,2015,2015-16,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_grants,2016,2016-17,True,,k12_alberta_reporting_authorities
k12_operating_grants,2017,2017-18,True,,k12_alberta_reporting_authorities
k12_operating_grants,2018,2018-19,True,,k12_alberta_reporting_authorities
k12_operating_grants,2019,2019-20,True,,k12_alberta_reporting_authorities
k12_operating_grants,2020,2020-21,True,,k12_alberta_reporting_authorities
k12_operating_grants,2021,2021-22,True,,k12_alberta_reporting_authorities
k12_operating_grants,2022,2022-23,True,,k12_without_valhalla
k12_operating_grants,2023,2023-24,True,,k12_alberta_reporting_authorities
k12_operating_grants,2024,2024-25,False,No verified recognized provincial operating-support observation on this boundary.,
k12_operating_grants,2025,2025-26,False,No verified recognized provincial operating-support observation on this boundary.,
k12_operating_expenses,2012,2012-13,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_expenses,2013,2013-14,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_expenses,2014,2014-15,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_expenses,2015,2015-16,False,No approved learner denominator for this period.,k12_alberta_reporting_authorities
k12_operating_expenses,2016,2016-17,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2017,2017-18,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2018,2018-19,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2019,2019-20,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2020,2020-21,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2021,2021-22,True,,k12_alberta_reporting_authorities
k12_operating_expenses,2022,2022-23,True,,k12_without_valhalla
