observation_id,series_id,year,period,amount_m,status,budget_basis,coverage_id,segment,source_id,locator,selected,real_amount_m,sector,measure,learners,learner_unit,enrolment_status,financial_segment,enrolment_segment,real_per_learner,gap_reason,denominator_id,learner_source_id,note
k12_grants_2014,k12_operating_grants,2014,2014-15,6332.156736,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2014_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6087.875349,k12,grants,,headcount,,k12_grants_pre_2018_reclassification,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_grants_2015,k12_operating_grants,2015,2015-16,6627.961281,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2015_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6300.776954,k12,grants,,headcount,,k12_grants_pre_2018_reclassification,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_grants_2016,k12_operating_grants,2016,2016-17,6722.000323,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification|k12_alberta_reporting_authorities,k12_2016_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6319.276931,k12,grants,651697.000000,headcount,final,k12_grants_pre_2018_reclassification,k12_alberta_reporting_authorities,9696.648797,,k12_matched_headcount,k12_enrolment_2016,
k12_grants_2017,k12_operating_grants,2017,2017-18,6926.142065,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_pre_2018_reclassification|k12_alberta_reporting_authorities,k12_2017_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6411.599829,k12,grants,664929.000000,headcount,final,k12_grants_pre_2018_reclassification,k12_alberta_reporting_authorities,9642.533005,,k12_matched_headcount,k12_enrolment_2017,
k12_grants_2018,k12_operating_grants,2018,2018-19,6967.649524,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021|k12_alberta_reporting_authorities,k12_2018_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6298.636234,k12,grants,673765.000000,headcount,final,k12_grants_2018_2021,k12_alberta_reporting_authorities,9348.417080,,k12_matched_headcount,k12_enrolment_2018,
k12_grants_2019,k12_operating_grants,2019,2019-20,6721.935073,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021|k12_alberta_reporting_authorities,k12_2019_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,5970.356029,k12,grants,683586.000000,headcount,final,k12_grants_2018_2021,k12_alberta_reporting_authorities,8733.876980,,k12_matched_headcount,k12_enrolment_2019,
k12_grants_2020,k12_operating_grants,2020,2020-21,7090.459252,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021|k12_alberta_reporting_authorities,k12_2020_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6228.039882,k12,grants,671641.000000,headcount,final,k12_grants_2018_2021,k12_alberta_reporting_authorities,9272.870301,,k12_matched_headcount,k12_enrolment_2020,
k12_grants_2021,k12_operating_grants,2021,2021-22,7112.778464,actual,not_applicable,k12_alberta_reporting_authorities,k12_grants_2018_2021|k12_alberta_reporting_authorities,k12_2021_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,6055.151660,k12,grants,679736.000000,headcount,final,k12_grants_2018_2021,k12_alberta_reporting_authorities,8908.093230,,k12_matched_headcount,k12_enrolment_2021,
k12_grants_2022,k12_operating_grants,2022,2022-23,7272.679524,actual,not_applicable,k12_without_valhalla,k12_2022_without_valhalla_aro|k12_without_valhalla,k12_2022_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,5817.228241,k12,grants,700443.000000,headcount,final,k12_2022_without_valhalla_aro,k12_without_valhalla,8305.070136,,k12_matched_headcount,k12_enrolment_2022,Valhalla excluded to match the financial rollup.
k12_grants_2023,k12_operating_grants,2023,2023-24,7663.506403,actual,not_applicable,k12_alberta_reporting_authorities,k12_2023_complete_aro_draft_northland|k12_alberta_reporting_authorities,k12_2023_statement_of_operations,GoA revenue less interschool revenue and GoA capital recognition (spent and unspent); exact source components in k12_components.csv,True,5935.598195,k12,grants,726625.000000,headcount,final,k12_2023_complete_aro_draft_northland,k12_alberta_reporting_authorities,8168.722787,,k12_matched_headcount,k12_enrolment_2023,
k12_expenses_2012,k12_operating_expenses,2012,2012-13,6498.965936,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2012_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6498.965936,k12,expenses,,headcount,,k12_complete_pre_aro,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_expenses_2013,k12_operating_expenses,2013,2013-14,6647.450074,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2013_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6554.622998,k12,expenses,,headcount,,k12_complete_pre_aro,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_expenses_2014,k12_operating_expenses,2014,2014-15,6922.993807,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2014_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6655.919159,k12,expenses,,headcount,,k12_complete_pre_aro,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_expenses_2015,k12_operating_expenses,2015,2015-16,7221.979330,actual,not_applicable,k12_alberta_reporting_authorities,,k12_2015_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6865.471749,k12,expenses,,headcount,,k12_complete_pre_aro,,,No approved learner denominator for this period.,k12_matched_headcount,,
k12_expenses_2016,k12_operating_expenses,2016,2016-17,7401.973042,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2016_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6958.511639,k12,expenses,651697.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10677.525966,,k12_matched_headcount,k12_enrolment_2016,
k12_expenses_2017,k12_operating_expenses,2017,2017-18,7579.158219,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2017_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,7016.103493,k12,expenses,664929.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10551.658137,,k12_matched_headcount,k12_enrolment_2017,
k12_expenses_2018,k12_operating_expenses,2018,2018-19,7687.441435,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro|k12_alberta_reporting_authorities,k12_2018_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True,6949.315835,k12,expenses,673765.000000,headcount,final,k12_complete_pre_aro,k12_alberta_reporting_authorities,10314.153800,,k12_matched_headcount,k12_enrolment_2018,
