denominator_id,year,period,learners,unit,status,coverage_id,source_id,locator,segment,eligible,note
k12_matched_headcount,2016,2016-17,651697.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2016,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2017,2017-18,664929.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2017,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2018,2018-19,673765.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2018,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2019,2019-20,683586.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2019,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2020,2020-21,671641.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2020,'Authority Enrolment Data': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2021,2021-22,679736.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2021,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2022,2022-23,700443.0,headcount,final,k12_without_valhalla,k12_enrolment_2022,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_without_valhalla,True,Valhalla excluded to match the financial rollup.
k12_matched_headcount,2023,2023-24,726625.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2023,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2024,2024-25,748521.0,headcount,final,k12_alberta_reporting_authorities,k12_enrolment_2024,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,
k12_matched_headcount,2025,2025-26,754880.0,headcount,preliminary,k12_alberta_reporting_authorities,k12_enrolment_2025,'Alberta Authority Enrolment Dat': sum Total column for admitted authority rows; row-by-row cells in k12_authority_enrolment.csv,k12_alberta_reporting_authorities,True,Preliminary December 2025 count.
postsec_public20_approved_fle,2015,2015-16,159321.995,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2015_2016,True,Olds College: Reporting cleanup at Olds College led to the removal of pre-packaged enrolments (which are not to be reported) in 2015-16.  This reporting change caused an artificial enrolment drop (~500 learners no longer reported).
postsec_public20_approved_fle,2016,2016-17,162716.592,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2015_2016,True,Keyano College: LERS had a significant decrease in enrolments at Keyano College due to wildfires.
postsec_public20_approved_fle,2017,2017-18,163546.425,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2017,True,University of Alberta: The University of Alberta had a significant reporting change related to their thesis level graduate FLE enrolments. This change resulted in artificial FLE decreases to thesis enrolments compared to prior years.  
postsec_public20_approved_fle,2018,2018-19,167765.251,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2018,True,Lethbridge College : Lethbridge College updated several program records to bring them into alignment with credit policies at their institution. This change resulted in significant FLE increases compared to prior years.
postsec_public20_approved_fle,2019,2019-20,169301.627,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2019_2020,True,System: The Active learner definition was standardized leading to learners (and enrolments) previously excluded now being included in LERS submissions. The Active Learner definition was updated to ensure consistent reporting of enrolments as of the time of the add deadline date. | Southern Alberta Institute of Technology: Reporting cleanup at SAIT resulted in learners taking courses from a program without enrolling in the program properly being reported in Open Studies (prior years allocated learners to the program the courses belonged to).
postsec_public20_approved_fle,2020,2020-21,172486.024,FLE,final,alberta_public20_excluding_banff,alberta_lers_fle_2024_25,By Sector and Institution; sum institution rows with sector other than Independent Academic Institutions; omit all subtotal/system rows,fle_2019_2020,True,
