Sector,Institution,Academic Year,FLE
Comprehensive Academic and Research,Athabasca University,2004-2005,6462.9
Comprehensive Academic and Research,Athabasca University,2005-2006,6742.46
Comprehensive Academic and Research,Athabasca University,2006-2007,7183.688
Comprehensive Academic and Research,Athabasca University,2007-2008,7193.331
Comprehensive Academic and Research,Athabasca University,2008-2009,7525.851
Comprehensive Academic and Research,Athabasca University,2009-2010,7701.338
Comprehensive Academic and Research,Athabasca University,2010-2011,7892.122
Comprehensive Academic and Research,Athabasca University,2011-2012,7874.812
Comprehensive Academic and Research,Athabasca University,2012-2013,8267.865
Comprehensive Academic and Research,Athabasca University,2013-2014,8503.856
Comprehensive Academic and Research,University of Alberta,2004-2005,31326.39
Comprehensive Academic and Research,University of Alberta,2005-2006,32264.155
Comprehensive Academic and Research,University of Alberta,2006-2007,32337.561
Comprehensive Academic and Research,University of Alberta,2007-2008,32683.855
Comprehensive Academic and Research,University of Alberta,2008-2009,32844.031
Comprehensive Academic and Research,University of Alberta,2009-2010,33886.091
Comprehensive Academic and Research,University of Alberta,2010-2011,34553.658
Comprehensive Academic and Research,University of Alberta,2011-2012,34588.797
Comprehensive Academic and Research,University of Alberta,2012-2013,36293.737
Comprehensive Academic and Research,University of Alberta,2013-2014,36687.746
Comprehensive Academic and Research,University of Calgary,2004-2005,23446.253
Comprehensive Academic and Research,University of Calgary,2005-2006,23190.435
Comprehensive Academic and Research,University of Calgary,2006-2007,24044.379
Comprehensive Academic and Research,University of Calgary,2007-2008,23654.285
Comprehensive Academic and Research,University of Calgary,2008-2009,24383.646
Comprehensive Academic and Research,University of Calgary,2009-2010,26024.802
Comprehensive Academic and Research,University of Calgary,2010-2011,26859.326
Comprehensive Academic and Research,University of Calgary,2011-2012,27721.785
Comprehensive Academic and Research,University of Calgary,2012-2013,28341.044
Comprehensive Academic and Research,University of Calgary,2013-2014,28047.274
Comprehensive Academic and Research,University of Lethbridge,2004-2005,6823.36
Comprehensive Academic and Research,University of Lethbridge,2005-2006,6973.879
Comprehensive Academic and Research,University of Lethbridge,2006-2007,6948.7
Comprehensive Academic and Research,University of Lethbridge,2007-2008,6937.585
Comprehensive Academic and Research,University of Lethbridge,2008-2009,6688.723
Comprehensive Academic and Research,University of Lethbridge,2009-2010,6911.082
Comprehensive Academic and Research,University of Lethbridge,2010-2011,7049.722
Comprehensive Academic and Research,University of Lethbridge,2011-2012,6893.618
Comprehensive Academic and Research,University of Lethbridge,2012-2013,6771.612
Comprehensive Academic and Research,University of Lethbridge,2013-2014,6805.254
Baccalaureate and Applied Studies,Grant MacEwan University,2004-2005,10534.254
Baccalaureate and Applied Studies,Grant MacEwan University,2005-2006,10346.287
Baccalaureate and Applied Studies,Grant MacEwan University,2006-2007,10338.851
Baccalaureate and Applied Studies,Grant MacEwan University,2007-2008,10204.682
Baccalaureate and Applied Studies,Grant MacEwan University,2008-2009,10220.872
Baccalaureate and Applied Studies,Grant MacEwan University,2009-2010,11156.672
Baccalaureate and Applied Studies,Grant MacEwan University,2010-2011,11742.439
Baccalaureate and Applied Studies,Grant MacEwan University,2011-2012,11465.191
Baccalaureate and Applied Studies,Grant MacEwan University,2012-2013,11838.152
Baccalaureate and Applied Studies,Grant MacEwan University,2013-2014,11958.041
Baccalaureate and Applied Studies,Mount Royal University,2004-2005,7869.619
Baccalaureate and Applied Studies,Mount Royal University,2005-2006,7808.237
Baccalaureate and Applied Studies,Mount Royal University,2006-2007,7497.069
Baccalaureate and Applied Studies,Mount Royal University,2007-2008,7877.334
Baccalaureate and Applied Studies,Mount Royal University,2008-2009,8956.008
Baccalaureate and Applied Studies,Mount Royal University,2009-2010,9670.592
Baccalaureate and Applied Studies,Mount Royal University,2010-2011,9994.1
Baccalaureate and Applied Studies,Mount Royal University,2011-2012,10030.06
Baccalaureate and Applied Studies,Mount Royal University,2012-2013,9837.411
Baccalaureate and Applied Studies,Mount Royal University,2013-2014,9419.115
Polytechnical,Northern Alberta Institute of Technology,2004-2005,11336.695
Polytechnical,Northern Alberta Institute of Technology,2005-2006,11621.128
Polytechnical,Northern Alberta Institute of Technology,2006-2007,12273.731
Polytechnical,Northern Alberta Institute of Technology,2007-2008,12979.676
Polytechnical,Northern Alberta Institute of Technology,2008-2009,13582.881
Polytechnical,Northern Alberta Institute of Technology,2009-2010,13185.594
Polytechnical,Northern Alberta Institute of Technology,2010-2011,13493.512
Polytechnical,Northern Alberta Institute of Technology,2011-2012,13077.654
Polytechnical,Northern Alberta Institute of Technology,2012-2013,13245.932
Polytechnical,Northern Alberta Institute of Technology,2013-2014,12478.624
Polytechnical,Southern Alberta Institute of Technology,2004-2005,10264.744
Polytechnical,Southern Alberta Institute of Technology,2005-2006,10715.342
Polytechnical,Southern Alberta Institute of Technology,2006-2007,11587.476
Polytechnical,Southern Alberta Institute of Technology,2007-2008,11609.615
Polytechnical,Southern Alberta Institute of Technology,2008-2009,11818.447
Polytechnical,Southern Alberta Institute of Technology,2009-2010,11645.84
Polytechnical,Southern Alberta Institute of Technology,2010-2011,11860.749
Polytechnical,Southern Alberta Institute of Technology,2011-2012,11987.234
Polytechnical,Southern Alberta Institute of Technology,2012-2013,12494.349
Polytechnical,Southern Alberta Institute of Technology,2013-2014,13462.381
Comprehensive Community,Bow Valley College,2004-2005,3912.55
Comprehensive Community,Bow Valley College,2005-2006,3941.265
Comprehensive Community,Bow Valley College,2006-2007,3456.858
Comprehensive Community,Bow Valley College,2007-2008,3590.642
Comprehensive Community,Bow Valley College,2008-2009,3825.042
Comprehensive Community,Bow Valley College,2009-2010,4463.843
Comprehensive Community,Bow Valley College,2010-2011,4492.527
Comprehensive Community,Bow Valley College,2011-2012,4825.285
Comprehensive Community,Bow Valley College,2012-2013,5123.653
Comprehensive Community,Bow Valley College,2013-2014,5455.265
Comprehensive Community,Grande Prairie Regional College,2004-2005,1386.464
Comprehensive Community,Grande Prairie Regional College,2005-2006,1347.239
Comprehensive Community,Grande Prairie Regional College,2006-2007,1262.359
Comprehensive Community,Grande Prairie Regional College,2007-2008,1251.147
Comprehensive Community,Grande Prairie Regional College,2008-2009,1289.841
Comprehensive Community,Grande Prairie Regional College,2009-2010,2069.28
Comprehensive Community,Grande Prairie Regional College,2010-2011,2013.831
Comprehensive Community,Grande Prairie Regional College,2011-2012,1929.102
Comprehensive Community,Grande Prairie Regional College,2012-2013,1953.387
Comprehensive Community,Grande Prairie Regional College,2013-2014,1967.567
Comprehensive Community,Keyano College,2004-2005,1322.014
Comprehensive Community,Keyano College,2005-2006,1282.786
Comprehensive Community,Keyano College,2006-2007,1223.411
Comprehensive Community,Keyano College,2007-2008,1290.225
Comprehensive Community,Keyano College,2008-2009,1212.401
Comprehensive Community,Keyano College,2009-2010,1353.067
Comprehensive Community,Keyano College,2010-2011,1414.691
Comprehensive Community,Keyano College,2011-2012,1331.277
Comprehensive Community,Keyano College,2012-2013,1339.278
Comprehensive Community,Keyano College,2013-2014,1384.231
Comprehensive Community,Lakeland College,2004-2005,2057.805
Comprehensive Community,Lakeland College,2005-2006,1938.034
Comprehensive Community,Lakeland College,2006-2007,1778.201
Comprehensive Community,Lakeland College,2007-2008,1927.997
Comprehensive Community,Lakeland College,2008-2009,2051.149
Comprehensive Community,Lakeland College,2009-2010,2098.773
Comprehensive Community,Lakeland College,2010-2011,2249.782
Comprehensive Community,Lakeland College,2011-2012,2215.909
Comprehensive Community,Lakeland College,2012-2013,2302.557
Comprehensive Community,Lakeland College,2013-2014,1913.482
Comprehensive Community,Lethbridge College,2004-2005,4103.674
Comprehensive Community,Lethbridge College,2005-2006,3954.442
Comprehensive Community,Lethbridge College,2006-2007,3726.257
Comprehensive Community,Lethbridge College,2007-2008,3669.139
Comprehensive Community,Lethbridge College,2008-2009,3815.192
Comprehensive Community,Lethbridge College,2009-2010,4123.301
Comprehensive Community,Lethbridge College,2010-2011,3972.366
Comprehensive Community,Lethbridge College,2011-2012,4177.234
Comprehensive Community,Lethbridge College,2012-2013,3933.714
Comprehensive Community,Lethbridge College,2013-2014,3853.017
Comprehensive Community,Medicine Hat College,2004-2005,2456.139
Comprehensive Community,Medicine Hat College,2005-2006,2415.028
Comprehensive Community,Medicine Hat College,2006-2007,2365.813
Comprehensive Community,Medicine Hat College,2007-2008,2347.075
Comprehensive Community,Medicine Hat College,2008-2009,2312.636
Comprehensive Community,Medicine Hat College,2009-2010,2537.436
Comprehensive Community,Medicine Hat College,2010-2011,2547.476
Comprehensive Community,Medicine Hat College,2011-2012,2482.056
Comprehensive Community,Medicine Hat College,2012-2013,2422.444
Comprehensive Community,Medicine Hat College,2013-2014,2122.912
Comprehensive Community,NorQuest College,2004-2005,4055.741
Comprehensive Community,NorQuest College,2005-2006,4196.595
Comprehensive Community,NorQuest College,2006-2007,4023.027
Comprehensive Community,NorQuest College,2007-2008,4365.247
Comprehensive Community,NorQuest College,2008-2009,5084.428
Comprehensive Community,NorQuest College,2009-2010,5680.704
Comprehensive Community,NorQuest College,2010-2011,4515.168
Comprehensive Community,NorQuest College,2011-2012,4085.999
Comprehensive Community,NorQuest College,2012-2013,3884.192
Comprehensive Community,NorQuest College,2013-2014,3626.658
Comprehensive Community,Northern Lakes College,2004-2005,758.894
Comprehensive Community,Northern Lakes College,2005-2006,863.426
Comprehensive Community,Northern Lakes College,2006-2007,777.9
Comprehensive Community,Northern Lakes College,2007-2008,860.386
Comprehensive Community,Northern Lakes College,2008-2009,1020.229
Comprehensive Community,Northern Lakes College,2009-2010,1059.564
Comprehensive Community,Northern Lakes College,2010-2011,1088.141
Comprehensive Community,Northern Lakes College,2011-2012,1128.13
Comprehensive Community,Northern Lakes College,2012-2013,1250.461
Comprehensive Community,Northern Lakes College,2013-2014,1306.574
Comprehensive Community,Olds College,2004-2005,1304.16
Comprehensive Community,Olds College,2005-2006,1304.874
Comprehensive Community,Olds College,2006-2007,1308.965
Comprehensive Community,Olds College,2007-2008,1274.942
Comprehensive Community,Olds College,2008-2009,1270.884
Comprehensive Community,Olds College,2009-2010,1294.452
Comprehensive Community,Olds College,2010-2011,1258.169
Comprehensive Community,Olds College,2011-2012,1285.746
Comprehensive Community,Olds College,2012-2013,1294.289
Comprehensive Community,Olds College,2013-2014,1316.238
Comprehensive Community,Portage College,2004-2005,1049.952
Comprehensive Community,Portage College,2005-2006,1069.548
Comprehensive Community,Portage College,2006-2007,979.497
Comprehensive Community,Portage College,2007-2008,910.815
Comprehensive Community,Portage College,2008-2009,979.573
Comprehensive Community,Portage College,2009-2010,1099.265
Comprehensive Community,Portage College,2010-2011,989.949
Comprehensive Community,Portage College,2011-2012,1005.808
Comprehensive Community,Portage College,2012-2013,958.022
Comprehensive Community,Portage College,2013-2014,798.24
Comprehensive Community,Red Deer College,2004-2005,3666.837
Comprehensive Community,Red Deer College,2005-2006,3639.401
Comprehensive Community,Red Deer College,2006-2007,3600.059
Comprehensive Community,Red Deer College,2007-2008,3653.221
Comprehensive Community,Red Deer College,2008-2009,3730.246
Comprehensive Community,Red Deer College,2009-2010,4001.568
Comprehensive Community,Red Deer College,2010-2011,3940.943
Comprehensive Community,Red Deer College,2011-2012,3628.21
Comprehensive Community,Red Deer College,2012-2013,3487.986
Comprehensive Community,Red Deer College,2013-2014,3480.862
Independent Academic,Ambrose University College,2004-2005,390.228
Independent Academic,Ambrose University College,2005-2006,367.367
Independent Academic,Ambrose University College,2006-2007,316.573
Independent Academic,Ambrose University College,2007-2008,316.832
Independent Academic,Ambrose University College,2008-2009,303.432
Independent Academic,Ambrose University College,2009-2010,345.811
Independent Academic,Ambrose University College,2010-2011,370.561
Independent Academic,Ambrose University College,2011-2012,417.081
Independent Academic,Ambrose University College,2012-2013,449.083
Independent Academic,Ambrose University College,2013-2014,389.62
Independent Academic,Canadian University College,2004-2005,371.246
Independent Academic,Canadian University College,2005-2006,353.796
Independent Academic,Canadian University College,2006-2007,314.252
Independent Academic,Canadian University College,2007-2008,287.03
Independent Academic,Canadian University College,2008-2009,284.721
Independent Academic,Canadian University College,2009-2010,333
Independent Academic,Canadian University College,2010-2011,409.881
