"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","127.1","","","","1"
"2013","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","128.9","","","","1"
"2014","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","132.2","","","","1"
"2015","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","133.7","","","","1"
"2016","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","135.2","","","","1"
"2017","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","137.3","","","","1"
"2018","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","140.6","","","","1"
"2019","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","143.1","","","","1"
"2020","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","144.7","","","","1"
"2021","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","149.3","","","","1"
"2022","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","158.9","","","","1"
"2023","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","164.1","","","","1"
"2024","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","168.9","","","","1"
"2025","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","172.2","","","","1"
