REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-01,Alberta,2021A000248,Persons,249,units,0,v15,10,3822425,,,,0
2013-01,Alberta,2021A000248,Persons,249,units,0,v15,10,3917941,,,,0
2014-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4027497,,,,0
2015-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4113697,,,,0
2016-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4171847,,,,0
2017-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4215506,,,,0
2018-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4263957,,,,0
2019-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4324254,,,,0
2020-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4392958,,,,0
2021-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4418338,,,,0
2022-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4466136,,,,0
2023-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4596901,,,,0
2024-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4801806,,,,0
2025-01,Alberta,2021A000248,Persons,249,units,0,v15,10,4988181,,,,0
2026-01,Alberta,2021A000248,Persons,249,units,0,v15,10,5048151,,,,0
