observation_id,series_id,year,period,amount_m,status,budget_basis,coverage_id,segment,source_id,locator,selected
k12_expenses_2012,k12_operating_expenses,2012,2012-13,6498.965936,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2012_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2013,k12_operating_expenses,2013,2013-14,6647.450074,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2013_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2014,k12_operating_expenses,2014,2014-15,6922.993807,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2014_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2015,k12_operating_expenses,2015,2015-16,7221.97933,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2015_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2016,k12_operating_expenses,2016,2016-17,7401.973042,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2016_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2017,k12_operating_expenses,2017,2017-18,7579.158219,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2017_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2018,k12_operating_expenses,2018,2018-19,7687.441435,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2018_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2019,k12_operating_expenses,2019,2019-20,7331.16496,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2019_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2020,k12_operating_expenses,2020,2020-21,7460.607392,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2020_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2021,k12_operating_expenses,2021,2021-22,7718.891331,actual,not_applicable,k12_alberta_reporting_authorities,k12_complete_pre_aro,k12_2021_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
k12_expenses_2022,k12_operating_expenses,2022,2022-23,8010.439318,actual,not_applicable,k12_without_valhalla,k12_2022_without_valhalla_aro,k12_2022_statement_of_operations,Total expenses less total amortization; exact source components in k12_components.csv,True
