year,authority_code,authority_name,category,learners,included,exclusion_reason,source_id,locator
2016,0009,Foundations for the Future Charter Academy Charter School Society,Charter,3394,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q65
2016,0012,Suzuki Charter School Society,Charter,317,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q66
2016,0019,Red Deer Catholic Regional Division No. 39,Separate,9532,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q44
2016,0020,St. Thomas Aquinas Roman Catholic Separate Regional Division No. 38,Separate,3987,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q45
2016,0021,Holy Family Catholic Regional Division No. 37,Separate,2130,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q46
2016,0045,Connect Charter School Society,Charter,613,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q67
2016,0046,Elk Island Catholic Separate Regional Division No. 41,Separate,6242,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q47
2016,0047,Living Waters Catholic Regional Division No. 42,Separate,2145,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q48
2016,0048,Evergreen Catholic Separate Regional Division No. 2,Separate,4102,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q49
2016,0052,Clearview School Division No. 71,Public,2370,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q2
2016,0053,Chinook's Edge School Division No. 73,Public,11091,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q3
2016,0054,Wolf Creek School Division No. 72,Public,7588,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q4
2016,0056,Westwind School Division No. 74,Public,4506,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q5
2016,0109,Westmount Charter School Society,Charter,1293,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q68
2016,0110,Edmonton Catholic Separate School District No. 7,Separate,41175,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q50
2016,0151,Calgary Arts Academy Society,Charter,533,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q69
2016,0152,Calgary Girls' School Society,Charter,586,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q70
2016,0154,Mother Earth's Children's Charter School Society,Charter,75,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q71
2016,0177,Peace Wapiti School Division No. 76,Public,5954,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q6
2016,0195,Prairie Rose School Division No. 8,Public,3532,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q7
2016,0224,Valhalla School Foundation,Charter,88,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q72
2016,0284,The Southern Francophone Education Region No. 4,Francophone,3379,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q61
2016,1045,Horizon School Division No. 67,Public,3459,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q8
2016,1070,Peace River School Division No. 10,Public,2974,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q9
2016,1085,Grande Yellowhead Public School Division No. 77,Public,4531,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q10
2016,1110,Sturgeon School Division No. 24,Public,5261,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q11
2016,1115,Prairie Land Regional Division No. 25,Public,1399,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q12
2016,1135,Livingstone Range School Division No. 68,Public,3576,True,,k12_enrolment_2016,'Alberta Authority Enrolment Dat'!Q13
