year,period,amount_cad,measure,status,budget_basis,source_id,locator,admitted,reason
2012,2012-13,6747206409,total_expenses_including_amortization,budget,unknown,k12_2012_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2013,2013-14,6811246304,total_expenses_including_amortization,budget,unknown,k12_2013_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2014,2014-15,7114845666,total_expenses_including_amortization,budget,unknown,k12_2014_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2015,2015-16,7435912007,total_expenses_including_amortization,budget,unknown,k12_2015_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2016,2016-17,7699249195,total_expenses_including_amortization,budget,unknown,k12_2016_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2017,2017-18,7918526698,total_expenses_including_amortization,budget,unknown,k12_2017_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2018,2018-19,8090714675,total_expenses_including_amortization,budget,unknown,k12_2018_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2019,2019-20,8166752612,total_expenses_including_amortization,budget,unknown,k12_2019_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2020,2020-21,8074866321,total_expenses_including_amortization,budget,unknown,k12_2020_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2021,2021-22,8107654944,total_expenses_including_amortization,budget,unknown,k12_2021_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2022,2022-23,8257719106,total_expenses_including_amortization,budget,unknown,k12_2022_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
2023,2023-24,8840729106,total_expenses_including_amortization,budget,unknown,k12_2023_statement_of_operations,PDF page 1; Budget current year; Total expenses,False,Statement labels Budget; original/adopted vs revised is not established. No comparable budget amortization extracted.
