year,period,institution,sector,fle,public20,source_id,locator
2015,2015-2016,Athabasca University,Comprehensive Academic and Research Universities,8468.961,True,alberta_lers_fle_2024_25,By Sector and Institution!E2
2015,2015-2016,University of Alberta,Comprehensive Academic and Research Universities,36363.822,True,alberta_lers_fle_2024_25,By Sector and Institution!E3
2015,2015-2016,University of Calgary,Comprehensive Academic and Research Universities,27488.709,True,alberta_lers_fle_2024_25,By Sector and Institution!E4
2015,2015-2016,University of Lethbridge,Comprehensive Academic and Research Universities,6948.957,True,alberta_lers_fle_2024_25,By Sector and Institution!E5
2015,2015-2016,Bow Valley College,Comprehensive Community Colleges,6309.14,True,alberta_lers_fle_2024_25,By Sector and Institution!E7
2015,2015-2016,Keyano College,Comprehensive Community Colleges,1137.378,True,alberta_lers_fle_2024_25,By Sector and Institution!E8
2015,2015-2016,Lakeland College,Comprehensive Community Colleges,1957.105,True,alberta_lers_fle_2024_25,By Sector and Institution!E9
2015,2015-2016,Medicine Hat College,Comprehensive Community Colleges,2080.001,True,alberta_lers_fle_2024_25,By Sector and Institution!E10
2015,2015-2016,NorQuest College,Comprehensive Community Colleges,5012.952,True,alberta_lers_fle_2024_25,By Sector and Institution!E11
2015,2015-2016,Northern Lakes College,Comprehensive Community Colleges,1088.115,True,alberta_lers_fle_2024_25,By Sector and Institution!E12
2015,2015-2016,Olds College,Comprehensive Community Colleges,1246.244,True,alberta_lers_fle_2024_25,By Sector and Institution!E13
2015,2015-2016,Portage College,Comprehensive Community Colleges,873.786,True,alberta_lers_fle_2024_25,By Sector and Institution!E14
2015,2015-2016,Ambrose University,Independent Academic Institutions,480.687,False,alberta_lers_fle_2024_25,By Sector and Institution!E16
2015,2015-2016,Burman University,Independent Academic Institutions,434.577,False,alberta_lers_fle_2024_25,By Sector and Institution!E17
2015,2015-2016,Concordia University of Edmonton,Independent Academic Institutions,1433.882,False,alberta_lers_fle_2024_25,By Sector and Institution!E18
2015,2015-2016,"King's University, The",Independent Academic Institutions,628.972,False,alberta_lers_fle_2024_25,By Sector and Institution!E19
2015,2015-2016,St. Mary's University,Independent Academic Institutions,621.75,False,alberta_lers_fle_2024_25,By Sector and Institution!E20
2015,2015-2016,Lethbridge Polytechnic,Polytechnic Institutions,3821.249,True,alberta_lers_fle_2024_25,By Sector and Institution!E22
2015,2015-2016,Northern Alberta Institute of Technology,Polytechnic Institutions,13808.065,True,alberta_lers_fle_2024_25,By Sector and Institution!E23
2015,2015-2016,Northwestern Polytechnic,Polytechnic Institutions,1876.991,True,alberta_lers_fle_2024_25,By Sector and Institution!E24
2015,2015-2016,Red Deer Polytechnic,Polytechnic Institutions,3778.323,True,alberta_lers_fle_2024_25,By Sector and Institution!E25
