year,institution,note,locator
2024,Athabasca University,"Athabasca University updated their LERS reporting period from a calendar year to a May through April reporting period (to align with other post-secondary reporting). To ensure no enrolments went unreported, this reporting change resulted in the university having to report one additional session in the transition year (January 2024 – April 2025). Therefore, this transition year has created an artificial increase to the institutional, sector and system enrolments. The inclusion of the ""extra"" Spring 2024 session adds an additional 3,200 FLE and 7,500 learners to what the university would have reported during the 12-month period. This is a one-year anomaly to ensure no enrolments went unreported and future LERS reporting cycles will follow the May – April reporting period.",Reporting Changes!A4:C4
2024,Lethbridge Polytechnic,"Lethbridge College became Lethbridge Polytechnic in the 2024/25 academic year, moving from the CCC sector to the POLY sector. To ensure longitudinal analysis, all reporting will use the new name and sector allocation.",Reporting Changes!A5:C5
2024,Makami College,"MaKami College first reported LERS enrolments in 2024/25 and the inclusion of their enrolment data will impact longitudinal analysis at the IAI sector and system level, as both these totals will show increases of around 1,700 FLE and learners due to MaKami College first reporting in 2024/25.",Reporting Changes!A6:C6
2024,NorQuest College,"NorQuest College updated their LERS Academic Year to align with Fiscal Reporting for 2024-25 forward.  To ensure consistent reporting, the 2024 spring session has been reported in both the 2023-24 and 2024-25 academic years.",Reporting Changes!A7:C7
2024,University of Alberta,"University of Alberta worked to update their thesis program records in 2024/25 (correcting the issue of over-reporting FLE), which resulted in a slight drop in FLEs among Graduate programs. Along with this change, the University of Alberta began to report course and thesis based graduate programming separately.",Reporting Changes!A8:C8
2023,Keyano College,The significant increase in enrolments at Keyano College can be attributed the college's continuous efforts in international student recruitment.,Reporting Changes!A9:C9
2023,Lakeland College,"Lakeland College changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting.",Reporting Changes!A10:C10
2023,Lethbridge College,"Lethbridge College will become Lethbridge Polytechnic in the 2024-25 academic year. As all data in these tables precedes this change, the changes will not appear in this file.",Reporting Changes!A11:C11
2023,NorQuest College,"In 2022-23, NorQuest College incorrectly reported learners from Ukraine that have expedited visas with a “Permanent Resident” Legal Status; this over‐reported the number of domestic learners by around 500 learners among English as a Second Language programming. For 2023‐24 reporting and future reporting, these learners were coded as “Other Visa”.",Reporting Changes!A12:C12
2023,Northwestern Polytechnic,"Northwestern Polytechnic changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting forward.",Reporting Changes!A13:C13
