observation_id,series_id,year,period,amount_m,status,budget_basis,segment,source_id,locator,selected,public21_grants_m,excluded_banff_m,source_vintage_year,notes
postsec_grants_2012_ar2012,postsec_operating_grants,2012,2012-13,2242.732,actual,,department_programs_2012_2013,ae_ar_2012,"PDF p71, Funding Provided to Post-Secondary Institutions table, Operating Grants 2013 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2259.176,16.444,2012,Current-year actual column.
postsec_grants_2013_ar2013,postsec_operating_grants,2013,2013-14,2138.075,actual,,department_programs_2012_2013,ae_ar_2013,"PDF p68, Funding Provided to Post-Secondary Institutions table, Operating Grants 2014 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2154.564,16.489,2013,Current-year actual column.
postsec_grants_2012_ar2013,postsec_operating_grants,2012,2012-13,2223.784,actual,,department_programs_2012_2013,ae_ar_2013,"PDF p68, Funding Provided to Post-Secondary Institutions table, Operating Grants 2013 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2240.228,16.444,2013,Comparative column; may be restated.
postsec_grants_2014_ar2014,postsec_operating_grants,2014,2014-15,2170.89,actual,,department_programs_2014_2021,ae_ar_2014,"PDF p74, Funding Provided to Post-Secondary Institutions table, Operating Grants 2015 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2190.879,19.989,2014,Current-year actual column.
postsec_grants_2013_ar2014,postsec_operating_grants,2013,2013-14,2138.075,actual,,department_programs_2012_2013,ae_ar_2014,"PDF p74, Funding Provided to Post-Secondary Institutions table, Operating Grants 2014 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2154.564,16.489,2014,Comparative column; may be restated.
postsec_grants_2015_ar2015,postsec_operating_grants,2015,2015-16,2242.513,actual,,department_programs_2014_2021,ae_ar_2015,"PDF p81, Funding Provided to Post-Secondary Institutions table, Operating Grants 2016 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2262.831,20.318,2015,Current-year actual column.
postsec_grants_2014_ar2015,postsec_operating_grants,2014,2014-15,2139.437,actual,,department_programs_2014_2021,ae_ar_2015,"PDF p81, Funding Provided to Post-Secondary Institutions table, Operating Grants 2015 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2159.426,19.989,2015,Comparative column; may be restated.
postsec_grants_2016_ar2016,postsec_operating_grants,2016,2016-17,2325.794,actual,,department_programs_2014_2021,ae_ar_2016,"PDF p49, Funding Provided to Post-Secondary Institutions table, Operating Grants 2017 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2346.448,20.654,2016,Current-year actual column.
postsec_grants_2015_ar2016,postsec_operating_grants,2015,2015-16,2242.513,actual,,department_programs_2014_2021,ae_ar_2016,"PDF p49, Funding Provided to Post-Secondary Institutions table, Operating Grants 2016 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2262.831,20.318,2016,Comparative column; may be restated.
postsec_grants_2017_ar2017,postsec_operating_grants,2017,2017-18,2372.439,actual,,department_programs_2014_2021,ae_ar_2017,"PDF p56, Funding Provided to Post-Secondary Institutions table, Operating Grants 2018 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",False,2390.046,17.607,2017,Current-year actual column.
