year,population,reference_date,source_id
2012,3822425,2012-01-01,statcan_population_17100009_2026-06-17
2013,3917941,2013-01-01,statcan_population_17100009_2026-06-17
2014,4027497,2014-01-01,statcan_population_17100009_2026-06-17
2015,4113697,2015-01-01,statcan_population_17100009_2026-06-17
2016,4171847,2016-01-01,statcan_population_17100009_2026-06-17
2017,4215506,2017-01-01,statcan_population_17100009_2026-06-17
2018,4263957,2018-01-01,statcan_population_17100009_2026-06-17
2019,4324254,2019-01-01,statcan_population_17100009_2026-06-17
2020,4392958,2020-01-01,statcan_population_17100009_2026-06-17
2021,4418338,2021-01-01,statcan_population_17100009_2026-06-17
2022,4466136,2022-01-01,statcan_population_17100009_2026-06-17
2023,4596901,2023-01-01,statcan_population_17100009_2026-06-17
2024,4801806,2024-01-01,statcan_population_17100009_2026-06-17
2025,4988181,2025-01-01,statcan_population_17100009_2026-06-17
2026,5048151,2026-01-01,statcan_population_17100009_2026-06-17
